11:19:50 - Info   :    Caching database...
11:19:50 - Info   :        Clearing Tables...
11:19:50 - Info   :    Waiting for a connection... 
11:20:56 - Info   :    Connected!
11:21:07 - Warn   :    adt { A08 - Update          , 63606_71_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:08 - Warn   :    adt { A08 - Update          , 63606_72_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:08 - Warn   :    adt { A08 - Update          , 63606_73_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:08 - Warn   :    adt { A08 - Update          , 63606_74_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:08 - Warn   :    adt { A08 - Update          , 63606_75_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:08 - Warn   :    adt { A08 - Update          , 63606_76_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:08 - Warn   :    adt { A08 - Update          , 63606_77_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:08 - Warn   :    adt { A08 - Update          , 63606_78_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:08 - Warn   :    adt { A08 - Update          , 63606_79_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:09 - Warn   :    adt { A08 - Update          , 63606_81_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:09 - Warn   :    adt { A08 - Update          , 63606_82_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:09 - Warn   :    adt { A08 - Update          , 63606_83_PV    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:09 - Warn   :    adt { A08 - Update          , 63606_84_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:09 - Info   :    adt { A03 - Discharge       , 63606_85_DA    }, lookups { adt.CreatedNew, patient.CreatedNew, location.CreatedNew           }: STORED!  
11:21:09 - Warn   :    adt { A08 - Update          , 63606_86_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:09 - Warn   :    adt { A08 - Update          , 63606_87_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:09 - Warn   :    adt { A08 - Update          , 63606_88_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:10 - Warn   :    adt { A08 - Update          , 63606_89_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:10 - Warn   :    adt { A08 - Update          , 63606_90_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:10 - Warn   :    adt { A08 - Update          , 63606_91_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:10 - Warn   :    adt { A08 - Update          , 63606_92_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:10 - Warn   :    adt { A08 - Update          , 63606_93_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:10 - Warn   :    adt { A08 - Update          , 63606_94_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:10 - Warn   :    adt { A08 - Update          , 63606_95_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:10 - Warn   :    adt { A08 - Update          , 63606_96_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:10 - Warn   :    adt { A08 - Update          , 63606_97_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:11 - Info   :    adt { A03 - Discharge       , 63606_98_DA    }, lookups { adt.CreatedNew, patient.CreatedNew, location.CreatedNew           }: STORED!  
11:21:11 - Warn   :    adt { A08 - Update          , 63606_99_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:11 - Warn   :    adt { A08 - Update          , 63606_100_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:11 - Warn   :    adt { A08 - Update          , 63606_101_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
